Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status
Fascent technologies,https://www.crunchbase.com/organization/fascent-technologies,"Big Data, Cloud Data Services, Consumer Applications, Cyber Security, Enterprise Applications, Enterprise Software, Information Technology, Internet, Internet of Things, Mobile Advertising, Mobile Apps, Network Security, Security, Software, Web Development","Hyderabad, Andhra Pradesh, India",Software development company,"53,443",12/1/17,month,,,"fascent technologies is software development company which provides all the software stuff like ERPs,websites,apps,server security,SEO and web hosting etc.",2000000,INR,31313,Seed
LoopKey,https://www.crunchbase.com/organization/loopkey,"Cyber Security, Hardware, Internet of Things, Mobile Devices","São Paulo, Sao Paulo, Brazil",LoopKey is an Access Control Platform that enables people to control assets from homes to enterprises in a secure way from anywhere.,"58,519",12/1/17,day,https://loopkey.com.br/en,hello@loopkey.com.br,"LoopKey is an access control platform that enables people to control assets from homes to enterprises in a secure way from anywhere. The company was founded in 2012 and is based in Brasilia, Brazil.",200000,USD,200000,Seed
Secberus,https://www.crunchbase.com/organization/secberus,"Cyber Security, Information Technology, Security","Miami, Florida, United States",An intelligent platform to simplify visibility of the public cloud infrastructure and enforce security controls via real-time monitoring.,"94,255",12/1/17,month,http://www.secberus.com,info@secberus.com,"Secberus is a real-time SaaS platform that enables DevSecOps engineers to audit and enforce their security configuration across multiple Public Cloud platforms (AWS / Azure / GCP). Companies can deploy the Secberus solution in minutes and obtain end-to-end asset visibility, compliance reporting, and the ability to enforce security policies in real-time. The SECBERUS SaaS solution delivers cyber-risk intelligence designed to correlate cloud asset relationships, removing security configuration complexity in the public cloud",,,,Seed
Notch Technologies,https://www.crunchbase.com/organization/notch-technologies,"Cyber Security, Electronics, Telecommunications","Cambridge, Massachusetts, United States",Notch Technologies is developing tech for boosting the communications capabilities of drones.,"104,821",12/1/17,month,http://www.notchtechnologies.com,crunchbase@notchtechnologies.com,Notch Technologies developing metamaterial solutions that enable antennas to be electronically controlled for beamforming and boosting communication ranges while simultaneously providing cyber-security protection,,,,Seed
VivoKey Technologies,https://www.crunchbase.com/organization/vivokey-technologies,"Cyber Security, Identity Management","Seattle, Washington, United States","Trust, upgraded. VivoKey is a subdermal identity platform providing cryptographic security with biometric convenience","114,448",12/1/17,day,https://vivokey.com,amal@vivokey.com,"VivoKey is a secure subdermal identity platform that marries the robust data protection of cryptography with the convenience of biometric systems. With VivoKey you can replace access cards, payment cards, and secure your digital identity with just a wave of your hand!",,,,Seed
Gleam AI,https://www.crunchbase.com/organization/gleam-ai,"Analytics, Artificial Intelligence, Big Data, Cyber Security, Machine Learning, Network Security, Predictive Analytics, SaaS","Seville, Andalucia, Spain",Un-intrusive AI-Powered Cybersecurity SaaS platform for Enterprises and Service Providers,"44,611",12/18/17,day,https://gleam.ai/,hello@gleam.ai,We help protect enterprise and SP (service provider) networks at any scale with the un-intrusive AI-Powered Cybersecurity Gleam platform (SaaS) based on machine learning over network traffic behavior.,270000,EUR,318165,Seed
Polyrize,https://www.crunchbase.com/organization/polyrize,"Cyber Security, Security","Tel Aviv, Tel Aviv, Israel",Polyrize is a cyber security service providing company.,"5,273",1/1/18,year,https://www.polyrize.com/,info@polyrize.com,,4000000,USD,4000000,Seed
Hunters.AI,https://www.crunchbase.com/organization/hunters-ai,"Artificial Intelligence, Cyber Security, Machine Learning, Network Security, SaaS","Tel Aviv, Tel Aviv, Israel","The first autonomous threat hunting machine, helping organizations detect, identify and remediate sophisticated cyber attacks.","7,899",1/1/18,year,https://www.hunters.ai,info@hunters.ai,"Hunters is the industry’s first autonomous hunting solution. Hunters combines its unique Attack Intelligence, Hunting AI, and continuous automation with the enterprise’s existing security data to transform threat hunting from hunt and hope to hunting that works. Hunters.AI generates and delivers actionable visualized attack stories allowing organizations to more quickly and effectively identify, understand, and respond to attacks.",5400000,USD,5400000,Seed
Curv,https://www.crunchbase.com/organization/curv-5d20,"Blockchain, Cloud Computing, Cryptocurrency, Cyber Security","New York, New York, United States",Institutional Wallet Service powered by MPC cryptography,"8,877",1/1/18,year,https://www.curv.co/,info@curv.co,,6500000,USD,6500000,Seed
AppOmni,https://www.crunchbase.com/organization/appomni,"Cloud Management, Cloud Security, Cyber Security, Software","San Francisco, California, United States","AppOmni empowers your team to Scan, Secure, and Monitor SaaS applications like an expert... Without needing to become one.","11,157",1/1/18,year,https://appomni.com/,,"Found in 2018, AppOmni empowers organizations to easily secure, manage, and monitor applications in the public cloud. Unlike traditional security and management tools, AppOmni deeply understands SaaS applications and cloud platforms, and operates on the authorization and data-access layers. Designed and built by Security Experts with over 50 years of collective experience, AppOmni provides our customers with meaningful and on-demand visibility into the cloud.",3000000,USD,3000000,Seed
Cosmian,https://www.crunchbase.com/organization/cosmian,"Analytics, Big Data, Cyber Security, Data Mining, Internet","Paris, Ile-de-France, France",The power of Personal Data Intelligence with zero compromise on Privacy.,"19,746",1/1/18,year,https://cosmian.com/,,"No more oligopoly.  We build a universal protocol based on the latest cryptography research and distributed technologies (peer-to-peer, blockchain) to power a fair and secure private data economy Privacy by design  Leveraging the Cosmian platform in projects or products empowers companies with privacy-preserving data analytics and private data security. The Key is the Consent  State-of-the-art cryptographic technologies to enable private data analysis without revealing the underlying data, and only with the data provider’s consent.",1400000,EUR,1572164,Seed
Kobalt,https://www.crunchbase.com/organization/kobalt,"Cloud Security, Cyber Security, Enterprise","Vancouver, British Columbia, Canada",Kobalt is a monitoring capabilities of enterprise-class security teams to smaller organizations.,"26,807",1/1/18,year,https://kobalt.io,info@kobalt.io,"They are bringing the monitoring capabilities of enterprise-class security teams to smaller organizations. They build on world-class frameworks and toolsets, combining the power of the cloud and data at scale to address the complexity of cyber security.",1000000,CAD,744096,Seed
ArcusTeam,https://www.crunchbase.com/organization/arcusteam,"Android, Artificial Intelligence, Big Data, Cyber Security, Internet of Things, iOS, Linux","Tel Aviv-yafo, Tel Aviv, Israel",ArcusTeam has developed an Automated Platform for Detecting Vulnerabilities on ANY IoT Software,"35,205",1/1/18,year,https://www.arcusteam.com/,contact@arcusteam.com,"ArcusTeam has developed an automated platform for detecting vulnerabilities on any IoT software. ArcusTeam aims to improve the security of IoT software during development and after production, allowing the IoT industry to confidently innovate in the software they build, as well as in the third-party supply chain components integrated into their environments.",300000,USD,300000,Seed
Hive.id,https://www.crunchbase.com/organization/hiveidentity,"Cyber Security, Fraud Detection, Identity Management, Internet","Los Angeles, California, United States",Prevent fraud before it happens and build secure experiences for your customers.,"46,672",1/1/18,year,https://hive.id,hello@hive.id,"Hive is a complete self-sovereign identity management solution that institutes a system of relationships between businesses and consumers. It is designed to create, manage and protect the unique sovereign Digital Identities of consumers while addressing the needs of businesses at the same time: affordable KYC/AML compliance, integrated Customer Due Diligence mechanism, fraud prevention, account takeover prevention, account and promo abuse, etc.",40000,EUR,45261,Seed
ANOVA Intelligence,https://www.crunchbase.com/organization/societas-analytics,"Big Data, Cyber Security, Predictive Analytics","Herndon, Virginia, United States",US intelligence agency-grade forensic analysis and critical intel.,"50,906",1/1/18,year,https://ANOVAintel.com,,"We find nation-state malware that others miss because we scan where others can't. ANOVA leverages AI and deep learning to automate vRAM forensic analysis, incident verification, data integrity anomaly detection and cyberconflict prediction across distributed networks, unsupervised and at scale. We arm enterprise and industrial high-value targets with the deep forensics and critical intel they require.",60000,USD,60000,Seed
CyCognito,https://www.crunchbase.com/organization/cycognito,"Cyber Security, Network Security","Palo Alto, California, United States",CyCognito's platform provides organizations a complete Attack Surface analysis from a sophisticated attacker point of view.,"60,256",1/1/18,year,https://www.cycognito.com,,"Finding Your Security Blind Spots CyCognito was founded by veterans of national intelligence agencies who understand how attackers exploit blind spots, and who recognized the need for a radical new approach to threat assessment. Legacy security testing approaches, like vulnerability scanners and pen testing services, help security teams find and fix blind spots within on-premises and directly managed infrastructure. But, they are no match for the rapidly expanding attack surface that results from modern, highly distributed IT architectures that span SaaS, IaaS, Shadow IT, and partner services. Nor are legacy solutions capable of discovering the majority of sophisticated attack vectors that modern attackers use. Our mission is to build the next-generation security risk assessment product category: solutions that autonomously discover, enumerate and prioritize each organization’s security risks based upon a global analysis of all external attack surfaces, and attack vectors that a real attacker would likely exploit. We believe that a cloud-based security solution that collects global attack surface data should become the foundational platform upon which all other external security testing services are performed, including Vulnerability Assessments, Penetration Tests, Red Team Tests, Partner Security Audits, Compliance Tests, and Bug Bounty Programs. This is the CyCAST Platform - the CyCognito Continuous Attack Surface Testing Platform.",,,,Seed
Winston Privacy,https://www.crunchbase.com/organization/winston-privacy,"Communication Hardware, Cyber Security, Embedded Systems, Internet of Things, Network Hardware, Privacy","Chicago, Illinois, United States",Winston is a plug-and-play privacy device that protects all devices in the home from mass surveillance. ,"63,050",1/1/18,month,https://winstonprivacy.com,support@winstonprivacy.com,"Winston is the first convenient privacy product for everyone — a hardware device that provides complete protection from hackers, corporate spies and warrantless government surveillance. We’ve packaged our proprietary anti-tracking technology into a simple plug-and-play solution that anyone can use. Connect Winston between your cable modem and wifi router and it protects your entire home network — before tracking reaches your PCs, cell phones and other connected devices.",,,,Seed
Calypso AI,https://www.crunchbase.com/organization/calypso-ai,"Artificial Intelligence, Cyber Security, Information Technology","San Francisco, California, United States",Calypso AI provides cybersecurity for artificial intelligence.,"72,332",1/1/18,year,https://www.calypsoai.com,,Calypso AI provides cybersecurity for artificial intelligence.,,,,Seed
Byzia Corporation,https://www.crunchbase.com/organization/byzia-corporation,"Cyber Security, Information Technology, Internet, Telecommunications, Web Hosting","London, England, United Kingdom",Byzia Corporation is  upcoming company based in UK and successor of Byzia Technology LTD,"97,642",1/1/18,year,https://www.byzia.net,info@byzia.net,,15000,EUR,18270,Seed
Arroyo Networks,https://www.crunchbase.com/organization/arroyo-networks,"Cloud Infrastructure, Cyber Security, IT Infrastructure, Network Security, Software Engineering","Hancock, Michigan, United States","Delivering peace of mind, by replacing traditional networking with software defined security solutions.","137,837",1/1/18,year,https://arroyonetworks.com,hello@arroyo.io,"Arroyo delivers software-driven network security, allowing IT professionals to enhance their traditional networks with solutions capable of withstanding the challenges of today’s cyber-security landscape.  Introducing INFLOW by Arroyo. INFLOW elminates the need to purchase expensive, slow, and outdated networking appliances and virtual machines. INFLOW is a Networking-as-a-Service Platform which been built from the ground up, leveraging recent advances in Cloud-Native Network Functions (CNFs). Customers can subscribe to and use INFLOW to increase their network security, either in the cloud or on-premise, by extending their edge and applying advanced network functions. Networks can be upgraded with next-generation firewalls, intrusion detection and prevention, phishing protection, user VPNs, load-balancing and much more. All available at the click of a button and without hardware and VMs. With no systems to install or manage, no firmware to update, no rules to keep in sync: INFLOW lowers administrative overhead while offering heightened security. No Hardware, No Firmware: Just Security.",,,,Seed
Prelude Institute,https://www.crunchbase.com/organization/prelude-institute,"Consumer Software, Cyber Security, Education, Information Technology, Software","Rye, New Hampshire, United States","Prelude Institute is focused on assessing, training and placing people into a new kind of job - starting with cybersecurity analyst.","152,468",1/1/18,year,https://www.preludeinstitute.com/,,"The Prelude Institute is a new form of higher education focused on helping transition people into the new labor market - focused on middle-skills careers. Their first focus area is cybersecurity, specifically training security analysts to address the major global supply/demand gap. They will train workers (from outside of cybersecurity - ideally in careers left behind by the current labor market) in 6 months. They believe they we can have a huge impact taking citizens and transforming their earning potential in 6 months.",,,,Seed
Simplerity,https://www.crunchbase.com/organization/simplerity,"Artificial Intelligence, Cyber Security, Information Technology, Security, Software","New York, New York, United States","Endpoint Intelligence Detection and Mitigation, Cyber Security SaaS, Security Monitoring","154,112",1/1/18,month,https://simplerity.com,leon@simplerity.com,"Simplerity applies machine learning algorithms to enterprise endpoint protection in order to eliminate variety of threats and adversary techniques.  Simply speaking, we are able to analyse terabytes of historical log data gathered from thousands of endpoints to find a vast majority of anomalies and prevent the most dangerous threaths. In real time.",,,,Seed
Cybercorre,https://www.crunchbase.com/organization/cybercorre,"Cyber Security, Information Technology, Network Security","London, England, United Kingdom",Cybercorre is a information & Cyber security advisory firm which aims to constructively disrupt the cyber and technology advisory.,"170,476",1/1/18,year,https://www.cybercorre.com/,services@cybercorre.com,"Cybercorre is the newest division of Procorre, a cost effective, expert security service, helping businesses manage and navigate the current and evolving threat landscape in a digitally connected world. Cybercorre’s platform offers tailored, cost effective solutions to cyber security demands, constructed to disrupt the industry by providing accessibility for organisations of all sizes.",,,,Seed
Sauron Security,https://www.crunchbase.com/organization/sauron-security,"Big Data, Cyber Security, Industrial Automation, Internet of Things, Real Time","London, England, United Kingdom","Sauron is a smart, big data cyber surveillance system specialized in real time detection & remediation of cyber attacks on IoT devices","134,363",1/7/18,day,http://sauronsecurity.com,office@sauronsecurity.com,"Sauron Security is a real-time, active cyber defence software for Enterprise IoT systems. It enables threat detection, automatic remediation and visual monitoring of cyber attacks in real-time.",,,,Seed
Strattic,https://www.crunchbase.com/organization/strattic,"Cloud Infrastructure, CMS, Cyber Security, Information Technology, Open Source, SaaS, Web Hosting","Jerusalem, Yerushalayim, Israel","Strattic converts CMS-based websites into serverless in one click, making them faster, scalable, and virtually unhackable than ever before.","99,347",1/30/18,day,https://www.strattic.com/,info@strattic.com,"Strattic takes any CMS based website or web app (70% of the internet) and in one click publish it as a fully dynamic serverless, static version of itself, making it exponentially faster, infinitely scalable and virtually unhackable.",,,,Seed
Kriptos,https://www.crunchbase.com/organization/kriptos,"Artificial Intelligence, Cyber Security, Enterprise Software, Machine Learning, SaaS","Sausalito, California, United States",Kriptos is a sophisticated software that classifies and labels company information using Artificial Intelligence.,"25,581",3/1/18,day,https://www.kriptos.io/,info@kriptos.io,"Kriptos is a sophisticated software that classifies and labels company information using Artificial Intelligence. It obtains real-time indicators such as probability of data loss, measures the economic impact of data loss, obtain user behavior, generates policies of use, and it allows companies optimize their investment in security by up to 35%. ",420000,USD,420000,Seed
HackHunter,https://www.crunchbase.com/organization/hackhunter,"Cyber Security, Hardware, Software","Docklands, Victoria, Australia",Malicious WiFi network detection and location,"68,640",3/1/18,day,https://hackhunter.io/,info@hackhunter.io,HackHunter protects organisations against malicious WiFi networks by alerting in real-time when they are detected and then actually physically locating the malicious WiFi network so it can be shut down.,50000,AUD,36323,Seed
HomeBreach,https://www.crunchbase.com/organization/homebreach,Cyber Security,"Phoenix, Arizona, United States",Stealth mode consumer cybersecurity company.,"213,126",3/1/18,day,http://www.homebreach.com,chase@homebreach.com,Stealth mode consumer cybersecurity company.,,,,Seed
@unik-name,https://www.crunchbase.com/organization/unik-name,"Blockchain, Cyber Security, Information Technology, Internet, Privacy","Nantes, Pays de la Loire, France",Universal naming protocol relying on secure digital identifiers,"188,823",4/1/18,day,https://www.unik-name.com,contact@unik-name.com,,,,,Seed
Tall Poppy,https://www.crunchbase.com/organization/tall-poppy,"Cyber Security, Employee Benefits, Security","San Francisco, California, United States",Tall Poppy builds tools and services to help companies protect their employees against online harassment and abuse.,"32,839",4/9/18,day,https://tallpoppy.io/,info@tallpoppy.io,"Tall Poppy builds tools and services to help companies protect their employees against online harassment and abuse. It combines proactive security training, threat monitoring, and detection with incident response when an individual comes under attack. In addition to its standard service, it also offers additional capabilities for high-profile or executive staff who face increased risk.",1000000,USD,1000000,Seed
Boundary,https://www.crunchbase.com/organization/boundary-technologies-ltd,"Cyber Security, Internet, Internet of Things, Security, Smart Home","Edinburgh, Edinburgh, City of, United Kingdom",Boundary is an IoT Home Security company providing a smart burglar alarm system that can be controlled over mobile devices.,"22,727",4/10/18,day,https://boundary.co.uk,hello@boundary.co.uk,Boundary Technologies Ltd is a revolutionary new way to protect your home and family. You could be the first to try our innovative home security system. Enter your email and we’ll let you know as soon as it launches and keep you up-to-date with product news and more.,1000000,GBP,1360894,Seed
Athena Security,https://www.crunchbase.com/organization/athena-security-inc,"Artificial Intelligence, Computer Vision, Cyber Security, Information Technology, Physical Security, Security, Software","Austin, Texas, United States",Athena’s mission is to prevent crimes like active shooter situations with  AI Gun Detection Software to help save lives.,"3,557",4/11/18,day,http://athena-security.com,info@athenacameras.com,"Athena’s mission is to prevent crimes like active shooter situations with  AI Gun Detection Software to help save lives around the world.  Athena is deployed in schools, businesses and places of worship.  Athena is headquarted in Austin Tx with offices in San Francisco and Europe.",5600000,USD,5600000,Seed
Raven Spatial,https://www.crunchbase.com/organization/raven-spatial,"Analytics, Cyber Security, Drones, Hardware, Image Recognition, Information Technology, Mobile Apps, Photo Sharing, Software","Tampa, Florida, United States",Raven Spatial provides crowdsourced on-demand drone and smartphone imagery for location intelligence via our ENHANCE Imagery Platform,"19,816",4/20/18,day,https://www.ravenspatial.com/,info@ravenspatial.com,Raven Spatial specializes in collecting drone and smartphone imagery for open source map data enrichment and customer on-demand imagery collection.,100000,USD,100000,Seed
Byos,https://www.crunchbase.com/organization/byos,"Cloud Security, Cyber Security, National Security, Network Security","Halifax, Nova Scotia, Canada","Byos provides Network Security protection to enterprise computers, tablets, and mobile phones, through Hardware-Enforced Isolation.","32,957",5/1/18,month,https://byos.io,engage@byos.io,"Byos offers a network security platform that provides hardware-enforced isolation to endpoints. It protects computers from network threats when connected to public WiFi networks. The core of the platform is the Byos BlackBox - a technology agnostic, driverless and agent-less, portable USB device. The device reports to a web-based Enterprise Management Interface (EMI) that shows a network administrator the status of their Byos-enabled endpoints, including current sessions by country-based servers and list of recent threats. The EMI is used for remote administration and configuration of IT policies, without interaction with the end user.",1560000,CAD,1150467,Seed
Cypaw,https://www.crunchbase.com/organization/cypaw,"Cyber Security, SaaS","Welwyn Garden City, Hertford, United Kingdom",Cloud Hosted Automated Digital Footprint Analyser and Management Tool,"67,691",5/1/18,day,https://www.cypaw.com,contact@cypaw.com,,150000,GBP,204134,Seed
Springdel,https://www.crunchbase.com/organization/springdel,"Analytics, Artificial Intelligence, Big Data, Cyber Security, Enterprise Software, Information Technology, Intelligent Systems, Internet, Machine Learning, Mobile Apps","Hong Kong, Hong Kong Island, Hong Kong",Data-Centric Mobile Device Management Platform Based on Federated Learning & Artificial Intelligence,"108,298",5/1/18,month,http://www.springdel.com,patty@springdel.com,The World's First Extensible IoT Mobile Edge Computing Platform Powered By AI and Federated Learning,,,,Seed
DaoHub,https://www.crunchbase.com/organization/daohub,"Analytics, Blockchain, Cyber Security, Developer Tools","San Francisco, California, United States","DaoHub is an operating system for smart contracts, providing enforcable security guarantees at every stage of the product lifecycle.","192,733",5/1/18,month,https://daohub.io,info@daohub.io,"Daohub is an open-source operating system for smart contracts that provides complete system introspection, deep resource isolation, and visibility across the entire state in real time. For the first time, developers can fix bugs and provide users enforcable security guarantees at every stage of the product lifecycle, even before product launch.",,,,Seed
"i2Chain, Inc.",https://www.crunchbase.com/organization/i2chain-inc,"Cloud Security, Collaboration, Cyber Security, DRM, E-Signature, Information and Communications Technology (ICT), Information Services, Information Technology","Santa Clara, California, United States",i2Chain's Chain platform secures Information and Identity - the two most valuable global assets.  ,"33,954",5/9/18,day,http://www.i2Chain.net,info@i2Chain.net,i2Chain is a cybersecurity platform focused on securing the two most valuable assets - Information and Identity. i2Chain leverages blockchain technology and has designed proprietary consensus mechanism to secure the assets with a single click. i2Chain's digital (smart) contracts uniquely allow enterprises to publish information and transact with confidence.    ,300000,USD,300000,Seed
CYKEEP Ltd.,https://www.crunchbase.com/organization/cykeep-ltd,"Artificial Intelligence, Cyber Security","London, England, United Kingdom",CYKEEP Is Cyber Security Startup,"65,307",5/24/18,day,http://www.cykeep.com,,CYKEEP Is Cyber Security Startup,22000,USD,22000,Seed
CESPPA,https://www.crunchbase.com/organization/cesppa,"Cyber Security, Information Technology, Internet, Security","Playa Vista, California, United States",Application Security Platform,"18,877",6/1/18,month,https://www.cesppa.com,info@cesppa.com,"CESPPA is an application security platform. The company's network of white-hat security researchers identifies security vulnerabilities before they are exploited by bad actors. CESPPA provides a managed, end-to-end solution for companies seeking to identify security risks within their applications.",1500000,USD,1500000,Seed
MTCaptcha,https://www.crunchbase.com/organization/mtcaptcha,"Analytics, Cyber Security, SaaS","San Francisco, California, United States",MTCaptcha helps enterprises with online security with smart captchas and easy to use plugins all in the cloud as SaaS.,"50,469",6/1/18,day,https://www.mtcaptcha.com,info@mtcaptcha.com,"MT's mission is to provide enterprises with continuous risk profiling and best of class security solutions as easy to use plugins and SaaS. Our first service MTCaptcha provides online bot detection and protection against automated attacks via AI driven adaptive captchas and proof-of-work, while fully compliant with Privacy (GDPR) and Accessibility (WCAG AAA) standards. Its smart, its beautiful and its fully enterprise ready.",250000,USD,250000,Seed
AnChain.ai,https://www.crunchbase.com/organization/anchain-ai,"Artificial Intelligence, Big Data, Bitcoin, Blockchain, Cryptocurrency, Cyber Security, Ethereum, FinTech, Machine Learning, Risk Management","San Jose, California, United States",AI Powered Blockchain Ecosystem Security,"12,092",7/1/18,month,http://www.AnChain.ai,AnChain.ai.inc@gmail.com,,2000000,USD,2000000,Seed
Panther Labs,https://www.crunchbase.com/organization/panther-labs,"Cloud Security, Cyber Security, Software","San Francisco, California, United States",A real-time cyber security monitoring platform to quickly detect threats.,"89,525",8/1/18,month,https://www.runpanther.io/,contact@runpanther.io,,,,,Seed
Cyber Innovative Technologies,https://www.crunchbase.com/organization/cyber-innovative-technologies,"Cyber Security, Management Consulting, Market Research, Risk Management, Software","New York, New York, United States",Cyber Risk Management Platform - CyRaaS provides an internal view of cyber risk at the digital asset level incorporated with a mgt platform.,"39,852",10/1/18,day,https://www.cyberinnovativetech.com,ariel@cyberinnovativetech.com,"Cyber Innovative Technologies is the leader in digital asset cyber risk quantification and scoring for organizations and vendors.  Our products allow customers to measure and mitigate cyber risk using a graphical user interface to model risk and a set of dashboards, reports and workflows incorporated into a role based management platform for boards, C-level management, CISOs, DPOs, auditors, compliance managers, vendors, and regulators.",35000,USD,35000,Seed
Cyscale,https://www.crunchbase.com/organization/cyscale,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Cyber Security, Information Technology, Software","Cluj-napoca, Cluj, Romania","Cloud Native - Automated Cloud Security - scalable Products and Services for Cloud Cybersecurity, DevSecOps and Cloud Security Management.","18,869",11/2/18,day,https://cyscale.com/,,"We make Multi-Cloud Management and Security more Manageable by empowering Security Professionals to automate repetitive and tedious tasks. We protect Hosts, VMs, Databases, Networks, Apps and Serverless in any Cloud Environment. Founder in 2018, Cyscale has set on a mission to change the way Cloud Security is designed and implemented, making it easy and manageable for everybody within a Organization! Automated Cloud Security - Cloud Native Security (VMs, Network, Serverless, Databases, Apps), Vulnerability and Threat Management, Cloud Inventory, Cost reduction, Compliance and Secure Design using our Cloud Studio Editor Works with Azure, AWS, Google Cloud, Oracle Cloud, IBM Cloud or any hybrid environment.",150000,EUR,170306,Seed
SafeTalpa,https://www.crunchbase.com/organization/safetalpa,"Cyber Security, Developer APIs, Information Technology","Bogotá, Distrito Especial, Colombia","Simplifying financial fraud, by building a service that helps merchants maintain PCI Compliance","17,216",11/5/18,day,https://www.safetalpa.com/,sales@safetalpa.com,,47950,USD,47950,Seed
Zerv,https://www.crunchbase.com/organization/zerv,"Cloud Security, Commercial Real Estate, Construction, Cyber Security, Internet of Things, Mobile Apps, SaaS, Security","Chicago, Illinois, United States",Zerv enables a smartphone to open any access controlled door without updating the existing hardware.,"33,173",11/5/18,day,https://zervinc.com,mailbox@zervinc.com,"Zerv is modern technology that enables smartphones to communicate with any access reader without updates to the system. Period.  Access badges and readers have been doing the job for years, however the overwhelming majority cannot communicate with your smartphone. Instead of costly and timely updates, use Zerv’s solution to bridge the gap, and reap the benefits of mobile access.",750000,USD,750000,Seed
ICSEC,https://www.crunchbase.com/organization/icsec,"Cyber Security, Industrial, Information Technology, Network Security, Security","Poznan, Wielkopolskie, Poland",ICSEC is a cybersecurity software company focused on protecting industrial control networks.,"27,595",12/5/18,day,http://www.icsec.pl,robert.juszczyk@icsec.pl,"We are a team of specialists dealing with industrial cyber security. Our company is made up of people with passion, who have been dealing with issues related to industrial networks since 1986. We create the first Polish IDS (Intrusion Detection System) SCADVANCE system for industrial networks and implement projects in the field of cyber security.  WHAT WE DO? For years we have been dealing with security issues in OI and IT.  We support companies and advise how to make business secure at every stage of its development. Our company is a top-class professional who makes sure that the solutions implemented by us are faultless and optimized. We enter where there is a need for both an idea and implementation. That is why you have come to our website. WHAT WE OFFER? We offer you the latest technological solutions and services to increase the level of security in the industry and critical infrastructure. Thanks to security audits you will learn how to better protect yourself against possible cyber attacks and meet the requirements of the NIS directive. Using our SCADVANCE system you will track any anomaly in the industrial network.",3978779,USD,3978779,Seed
Cybersenshi,https://www.crunchbase.com/organization/cybersenshi,"Cloud Security, Cyber Security, Network Security, Security","Riyadh, Ar Riyad, Saudi Arabia",A cybersecurity SaaS platorm to automate & discover cybersecurity weaknesses in web apps & networks & to automate penetration testing,"129,970",1/1/19,year,https://www.cybersenshi.com,info@cybersenshi.com,Cybersenshi has been developed by cybersecurity gurus to fix a serious problem in discovering security issues for non-cybersecurity pros and to help cybersecurity-pros to automate offensive cybersecurity testing. It works as SaaS model with flexible subscription plans.,,,,Seed
Fast,https://www.crunchbase.com/organization/byepass,"Apps, Cyber Security, Information Technology, Internet, Security","San Francisco, California, United States","Tap to login, tap to checkout.","96,584",3/1/19,month,https://fast.co,hi@fast.co,"Fast is the world's easiest login and checkout, with just a tap.",,,,Seed
TMIA,https://www.crunchbase.com/organization/tmia,"Asset Management, Blockchain, Consulting, Cryptocurrency, Cyber Security, FinTech, Internet","Linz, Oberosterreich, Austria",TMIA GmbH operates the web platform www.nodeventure.io . NodeVenture stores digital assets securely and profitably.,"88,362",7/17/19,day,https://www.nodeventure.io,office@nodeventure.at,"Being 100% transparent, NodeVenture wins the trust of its B2B customers by ISO and ISAE standards. We store customer assets offline on coldwallets, and insure them at one of the world‘s leading global insurance companies. By just holding a token, we allow our customers to profitably use blockchain mechanisms like Proof of Stake, delegated Proof of Stake and Proof of Service, generating up to 15% ROI p.a.",,,,Seed
