Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
Evident,https://www.crunchbase.com/organization/evident-id,"Cyber Security, Identity Management, Internet, Security, Software","Atlanta, Georgia, United States",Evident offers a secure solution for businesses and individuals to share verified personal information.,"3,671",2016-01-15,day,https://www.evidentid.com/,contact@evidentid.com,"Evident is revolutionizing the way personal data is shared. Evident's simple, secure Identity Assurance Platform lets businesses confidently know who they are dealing with without handling sensitive personal data. With connections to thousands of authoritative sources through a single API, Evident is the only platform that enables comprehensive, accurate, and up-to-date identity and credential verifications without the risk and liability of holding personal information.",28800000,USD,28800000,Early Stage Venture,In Contact
LogicHub,https://www.crunchbase.com/organization/logichub,"Cyber Security, Network Security, Security","Mountain View, California, United States",LogicHub automates security analysts' intelligence process to reduce breach detection time.,"3,208",2016-02-01,month,http://www.logichub.com/,info@logichub.com,"LogicHub improves breach detection tenfold by prioritizing high-risk threats organizations face with the accuracy of experienced security analysts, at 1,000 times the speed. Its Security Intelligence Automation platform captures and automates security analysts’ intelligence, knowledge and expertise to prioritize threats more effectively than rule-based SIEM or pure AI-based approaches.",8400000,USD,8400000,Early Stage Venture,In Contact
Respond Software,https://www.crunchbase.com/organization/respond-software,"Cyber Security, Enterprise, Information Technology, Security, Software","Mountain View, California, United States",Respond Software is a provider of automated cyber security threat protection.,"4,919",2016-04-01,month,https://respond-software.com/,info@respond-software.com,"Respond Software is a provider of automated cyber security threat protection. Respond Software helps companies achieve high performance and efficiency in people-intensive security operations. It redefines security operations by allowing expert analyst capability and capacity at dramatically lower cost. The company emulates the decision-making of an expert security analyst, effectively becoming a security team member that specializes in high-volume, low signal use cases while it applies, adapts, and maintains an organization’s tribal knowledge. Respond Software was founded on 2016 and is headquartered in Mountain View, California.",32000000,USD,32000000,Early Stage Venture,In Contact
Sepio Systems,https://www.crunchbase.com/organization/sepio-systems,"Cyber Security, Information Technology, Network Security, SaaS, Software, Supply Chain Management","Gaithersburg, Maryland, United States","A leader in the Rogue Device Mitigation (RDM) market, Sepio is disrupting the cyber-security industry by uncovering hidden hardware attacks","77,476",2016-04-01,month,http://www.sepio.systems,info@sepio.systems,"Sepio in Latin means watch over and guard.  Sepio is a leader in the Rogue Device Mitigation (RDM) market, and the developer of Sepio Prime - a SaaS solution for protecting organizations from hardware based attacks and threats. Sepio Prime provides security teams with full visibility into their hardware assets and their behavior in real time. A comprehensive policy enforcement module allows administrators to easily define granular device usage rules and continuously monitor and protect their infrastructure.  Leveraging a combination of physical fingerprinting technology together with device behavior analytics, Sepio's software-only solution offers instant detection and response to any threat or breach attempt coming from a manipulated or infected element.",,,,Early Stage Venture,In Contact
XM Cyber,https://www.crunchbase.com/organization/xm-cyber,"Cyber Security, Network Security, Security","Herzliya, Tel Aviv, Israel","XM Cyber provides the first fully automated APT Simulation Platform to continuously expose all attack vectors, and prioritizes remediation.","3,044",2016-04-05,day,https://xmcyber.com,info@xmcyber.com,"XM Cyber provides the first fully automated APT Simulation Platform to continuously expose all attack vectors, above and below the surface, from breach point to any organizational critical asset. This continuous loop of automated red teaming is completed by ongoing and prioritized actionable remediation of organizations’ security gaps. In effect, HaXM by XM Cyber operates as an automated purple team that fluidly combines red team and blue team processes to ensure that organizations are always one step ahead of the hacker. XM Cyber was founded by top executives from the Israeli cyber intelligence community and employs an elite team of cyber offense and defense veterans with decades of real-world experience. The company has offices in the US, Israel and in Australia.",32000000,USD,32000000,Early Stage Venture,In Contact
Dragos,https://www.crunchbase.com/organization/dragos,"Cyber Security, Industrial, Network Security, Security, Software","Hanover, Maryland, United States",Dragos is an industrial cybersecurity company that exists to safeguard civilization.,961,2016-05-01,month,https://www.dragos.com/,info@dragos.com,"Dragos is an industrial (ICS/IIoT) cybersecurity company that has taken industry subject matter experts and focused them on some of the industrial community's hardest challenges. Dragos created the Dragos Platform which is a software platform that collects, detects, and automates asset inventorying and visualization, threat detection through threat behavior analytics, and security operations and incident response workflows. The Dragos team also has a Threat Operations Center that provides the industry access to dedicated ICS incident response and threat hunting services as well as industrial specific intelligence reporting on vulnerabilities, threats, and community events. The company was founded in 2016 and is based in Hanover, Maryland.",48200000,USD,48200000,Early Stage Venture,In Contact
Expel,https://www.crunchbase.com/organization/expel,"Cloud Security, Cyber Security, Network Security","Herndon, Virginia, United States",Expel provides transparent managed security.,"3,453",2016-05-05,day,http://expel.io/,contact@expel.io,"Expel allows our customers to do what they love about security, even if that’s not thinking about it.  We’re busting the proprietary black-box approach that legacy Managed Service Security Providers (MSSPs) take. Customers describe existing providers as “you pour your money in, and nothing comes out.”  Instead, we’re transparent about what we do and how we do it.  In our hold-your-cards-close-to-your-chest industry, that’s radical. We use the security products our customers already have and our analysts investigate alerts and monitor customers’ environments. When we find a problem, we tell customers exactly what to do about it, and we get to the root cause so that these problems don’t happen again. Org leaders want answers, not more alerts. Yet despite the record number of security tools available today, most security teams spend most of their time in the weeds sifting through alerts. Or worse -- businesses can’t find (or afford) and retain the talent to get those answers they need.",67500000,USD,67500000,Late Stage Venture,In Contact
Cymulate,https://www.crunchbase.com/organization/cymulate,"Computer, Cyber Security, Information Services, Information Technology","Rishon Le Zion, HaMerkaz, Israel",Breach & Attack Simulation,"4,977",2016-06-01,month,https://www.cymulate.com/,info@cymulate.com,"Cymulate helps companies to stay one step ahead of cyber attackers with a unique breach and attack simulation platform that empowers organizations with complex security solutions to safeguard their business-critical assets. By mimicking the myriad of strategies hackers deploy, the system allows businesses to assess their true preparedness to handle cyber security threats effectively. An on-demand SaaS-based platform enables to run simulations 24/7 from anywhere, shortening the usual testing cycle, and speeding up time to remediation. Cymulate was established in 2016 by former IDF intelligence officers and leading cyber researchers with extensive experience in offensive cyber solutions.  ",11000000,USD,11000000,Early Stage Venture,In Contact
Hysolate,https://www.crunchbase.com/organization/hysolate,"Computer, Cyber Security, Software","Tel Aviv, Tel Aviv, Israel","Hysolate is revolutionizing enterprise endpoints, resolving the conflict between security and productivity.","5,602",2016-06-01,month,https://www.hysolate.com,info@hysolate.com,"Hysolate is revolutionizing enterprise endpoints, resolving the conflict between security and productivity. Hysolate brings air gap security to the enterprise and at the same time frees knowledge workers from past usage restrictions. Hysolate was launched by Team8, a cybersecurity powerhouse and company creation platform that was founded by former leadership from Israel’s Technology and Intelligence Unit, 8200 (Israel’s NSA). With roots in the elite technology units of Israeli defense and in world-class enterprise software companies, the Hysolate founding team are cyber and IT industry veterans.",23000000,USD,23000000,Early Stage Venture,In Contact
Alsid,https://www.crunchbase.com/organization/alsid,"Cyber Security, Security","Paris, Ile-de-France, France",Detect Active Directory breaches before attackers do.,"9,301",2016-06-15,day,https://www.alsid.com,hello@alsid.com,"Alsid conceives transparent, cost- and time- effective solutions which aim at disrupting cyberattacks targeting corporate networks by defending their common denominator : the Active Directory infrastructure that support companies’ vital assets. Built on world class threat intelligence and machine learning capabilities, Alsid technology is an agentless, easy to deploy security solution which constantly monitors hundreds of Active Directory inner parameters, objects, and processes to uncover security gaps, to detect ongoing attacks before they succeed, and to eventually provide you with precise remediation tactics.",14560000,EUR,16543511,Early Stage Venture,In Contact
Kolide,https://www.crunchbase.com/organization/kolide,"Cyber Security, Database, Enterprise Software, Infrastructure","Boston, Massachusetts, United States",Kolide is a host monitoring platform that enables its users to detect and minimize security threats.,"54,680",2016-06-27,day,https://kolide.com,hello@kolide.com,"Kolide is a host monitoring platform that enables its users to detect and minimize security threats. The platform provides its users with real-time detect and alerting. Furthermore, it enables them to create labels to assign detection policies and create lists visualizing their company’s infrastructure. It was developed for Linux, MacOS, and Windows platforms. Kolide was launched in 2016 by Mike Arpaia, Zach Wasserman, and Jason Meller.",9600000,USD,9600000,Early Stage Venture,In Contact
Alcide,https://www.crunchbase.com/organization/alcide,"Cloud Security, Cyber Security, Data Center, Information Technology, Network Security, Security, Software","Tel Aviv, Tel Aviv, Israel",Alcide provides a cloud-native security platform from code to production to continuously secure workloads running in Kubernetes.,"6,331",2016-07-01,month,http://www.alcide.io,info@alcide.io,"Built for DevOps. Trusted by Security. Alcide is a Kubernetes network security leader empowering DevOps and security teams to continuously secure and protect their growing multi-cluster Kubernetes deployments. Alcide provides a single Kubernetes-native security platform for everything Kubernetes: configuration risks, network security events, and a single policy framework to enforce. Companies use Alcide to scale their Kubernetes deployments without compromising on security. The Alcide Security Platform provides code-to-production protection that automatically discovers, manages and enforces security policies across multi-cluster environments. This enables the smooth operation of business apps while protecting cloud deployments from malicious attacks.",12300000,USD,12300000,Early Stage Venture,In Contact
Fortanix,https://www.crunchbase.com/organization/fortanix,"Computer, Cyber Security, Security","Mountain View, California, United States",Fortanix solves cloud security and privacy using Runtime Encryption(R) technology build upon Intel SGX.,"36,242",2016-07-01,month,https://www.fortanix.com,info@fortanix.com,"Fortanix is building a new security category with its Runtime Encryption(R) technology using Intel SGX. Just like encryption today protects data at rest and data during motion, Runtime Encryption(R) keeps keys, data, and applications completely protected even when infrastructure has been compromised and even root users are malicious.  Fortanix's Self-Defending Key Management Service (SDKMS) is a next-generation cloud native solution for your enterprise encryption needs. It offers key generation, management, distribution, encryption-as-a-service, HSM, KMIP, and tokenization all rolled-in as a single product the highest possible level of security and cloud scale. Available as both FIPS certified appliance and a globally available SaaS (with Equinix's strong SLA), SDKMS offers incredible simple central management, server-side load balancing, central tamper-proof logging, RESTful APIs, and Runtime Encryption(R) plugin to run custom code. Fortanix's Runtime Encryption(R) Platform allows customers to bring any docker container and run them securely inside Intel SGX without any modification. It allows customers to share data with each other without losing control of the data, run analytics on sensitive data, run applications securely in remote cloud, move PII-heavy sensitive data to public cloud, etc.  Fortanix's Enclave Development Platform (EDP) allows customers to write Rust code to run natively as SGX enclaves. Supported by mainline Rust compiler, developers find EDP as the easiest and the most secure way of developing new applications. In the short time, Fortanix has developed strategic partnership with Equinix and IBM cloud and counts multiple F50 companies as its customers. Fortanix is a Gartner Cool Vendor and also was runner up in RSA Innovation Sandbox among 500+ security companies where judges called it ""holy grail of security"". Fortanix has more than ten patents pending for its innovation.",31000000,USD,31000000,Early Stage Venture,In Contact
Tala Security,https://www.crunchbase.com/organization/tala-security,"Cyber Security, Information Technology, Security","Fremont, California, United States","Tala provides security solutions to protect enterprise websites against formjacking, Magecart, and advanced attacks.","5,793",2016-07-03,day,https://www.talasecurity.io/,,"Tala provides security solutions to protect enterprise websites against formjacking, Magecart, and advanced attacks. It helps websites and web apps enable a completely secure web experience for users. It has developed a completely agent-less solution that leverages new and powerful web standards such as Content Security Policy (CSP). The solution is fully automated and is compatible with all web technologies. This means that any website could use Tala to protect all of their end users against web layer attacks, in a matter of minutes.  Tala is led by industry veterans and successful entrepreneurs and is backed by VCs, angels and former executives at Symantec, and by the National Science Foundation (NSF).",14636601,USD,14636601,Early Stage Venture,In Contact
"SpyCloud, Inc.",https://www.crunchbase.com/organization/spycloud-inc,"Cyber Security, Network Security, Security","Austin, Texas, United States",SpyCloud offers early warning solutions to businesses to prevent compromises on employee and customer account.,"4,956",2016-08-01,month,https://spycloud.com,,SpyCloud helps businesses of all sizes prevent data breaches and account takeover attacks by alerting when employee or company assets have been compromised. They accomplish this through early-warning breach detection service powered by a team of intelligence analysts.,28500000,USD,28500000,Early Stage Venture,In Contact
MistNet.ai,https://www.crunchbase.com/organization/mistnet-io,"Cyber Security, Risk Management, Security","Mountain View, California, United States",MistNet develops breakthrough multi-entity threat detection & hunting powered by patent-pending mist computing & edge AI technologies.,"9,533",2016-08-02,day,https://www.mistnet.ai,sales@mistnet.ai,Mistnet.io develops security threat detection and prevention technologies that helps minimize exposure to serious cyber risks.,7000000,USD,7000000,Early Stage Venture,In Contact
NS8,https://www.crunchbase.com/organization/ns8-inc,"Big Data, Cyber Security, E-Commerce, Fraud Detection, Machine Learning, Security","Las Vegas, Nevada, United States","NS8 is an abuse, fraud, and user experience protection platform.","2,935",2016-08-18,day,https://www.ns8.com,media@ns8.com,"NS8 is an abuse, fraud, and user experience protection platform. They use behavioral analytics and real-time scoring to optimize and protect against threats.",34875000,USD,34875000,Early Stage Venture,New
RevBits,https://www.crunchbase.com/organization/revbits,"Cloud Security, Consulting, Cyber Security, Enterprise Software, Information Technology, Network Security, Software, Software Engineering","New York, New York, United States","RevBits is a leading developer of next-generation endpoint security, privileged access management (PAM), and phishing detection solutions.","24,767",2016-09-25,day,https://www.revbits.com,info@revbits.com,"RevBits develops cutting edge products including advanced endpoint security (Achilles Shield), Privileged Access Management combined with an extensive password and key management capability (ENPAST), a deception-based early breach detection system (BeeAlert), and phishing detection, prevention and awareness (Phish-O-Meter and PhishDrill). RevBits also provides full cyber security solutions and incident management for organizations of any size. Specialties include incident response, malware/forensic analysis, penetration testing, hardware/firmware/IoT device analysis, source code review, red teaming, social engineering/phishing, and mobile application assessment. RevBits is comprised of the industry’s leading talent for security incident detection, resolution, and monitoring.",5000000,USD,5000000,Early Stage Venture,New
Sweepatic,https://www.crunchbase.com/organization/sweepatic,"Analytics, Artificial Intelligence, Asset Management, Cyber Security","Leuven, Vlaams-Brabant, Belgium",Sweepatic is an innovative data driven cybersecurity company and operates on a global scale.,"12,132",2016-11-01,month,https://www.sweepatic.com/,info@sweepatic.com,"Through the Sweepatic reconnaissance platform, you are equipped with an extra pair of eyes on the outside, monitoring your external attack surface and its exposure to risk. This unique platform -build by security experts- constantly mimics the latest and most refined reconnaissance techniques, discovering and analyzing all internet facing assets in a fast, accurate and complete way. It sheds light on new, odd, unknown and hidden parts of businesses and organizations before somebody else does.",1000000,EUR,1137915,Early Stage Venture,New
Militus,https://www.crunchbase.com/organization/militus,"Cyber Security, Network Security","Irvine, California, United States"," Militus Cyber, a developer of cybersecurity appliances ‎itused for detecting malware and advanced persistent threats on computer networks.","143,631",2016-11-19,day,https://milituscyber.com,info@milituscyber.com,Militus builds seamlessly integrated Cybersecurity System-of-Sytems solutions providing the most complete picture for Network Traffic Situational Awareness. Militus solutions enabling discoveries that minimize the time to detect various sophisticated threats and advance malwares. A different thinking and approach translated into ingenious algorithms. ,,,,Early Stage Venture,New
Case.one,https://www.crunchbase.com/organization/case-one-2,"Cyber Security, Information Technology, Law Enforcement, Software","Irvine, California, United States",Case.one is focused on bringing your legal practice up to the next level,"19,834",2016-11-28,day,http://case.one,info@case.one,"Case.one is a flexible practice management solution that is easily customized to work the way you do, supports collaboration with your team and clients, incorporates AI-powered tools streamlining workflow, and integrates with leading applications including Outlook, Dropbox, Quickbooks, Gmail, and more.",5000000,USD,5000000,Early Stage Venture,In Contact
WireWheel.io,https://www.crunchbase.com/organization/wirewheel-io,"Compliance, Cyber Security, Privacy","Arlington, Virginia, United States",WireWheel.io is a software company that revolutionizes data privacy and protection as-a-service for companies.,"5,931",2016-12-22,day,http://www.wirewheel.io,justin@wirewheel.io,WireWheel.io is a software company that revolutionizes data privacy and protection as-a-service for companies. WireWheel delivers a cloud-based solution to to help global organizations become GDPR-ready and operationalize privacy in the enterprise.,13100000,USD,13100000,Early Stage Venture,In Contact
Rubica,https://www.crunchbase.com/organization/rubica,"Consumer, Cyber Security, Network Security, Security","San Francisco, California, United States",Restoring safety to your digital world,"11,028",2016-12-23,day,http://www.rubica.com,info@rubica.com,"Rubica’s secure, private network and team of elite cyber experts provide you with digital security as powerful as the world’s leading companies’. Extremely sophisticated yet easy to use, Rubica operates discreetly in the background, only alerting you if your action is needed, so you can always be confident in your online safety and privacy.Rubica exists to protect individuals’ “digital rights” to security and privacy – and ultimately reduce the incidence of cyber crime. We are the only solution that is powerful enough to protect a world-class corporation, but is designed specifically to provide security and privacy for you, your family and business network.",14600000,USD,14600000,Early Stage Venture,New
Cmd,https://www.crunchbase.com/organization/cmd,"B2B, Cyber Security, Information Technology, Internet, Internet of Things, Linux","Vancouver, British Columbia, Canada",Cmd allows organizations to intuitively monitor and control user interaction within their Linux environment.,"7,616",2016-12-27,day,https://cmd.com/,sales@cmd.com,"Cmd allows organizations to proactively secure their Linux environment like never before. Enjoy unprecedented real-time visibility into user actions, customizable controls, and the ability to stop commands pre-execution without the need for human intervention. Get ahead of the potential breach and block malicious attackers without blocking business. It’s the solution your DevOps and SecOps teams can finally agree upon.",21600000,USD,21600000,Early Stage Venture,New
Eclypsium,https://www.crunchbase.com/organization/eclypsium,"Cyber Security, Enterprise, Information Technology","Portland, Oregon, United States","Eclypsium provides technology that helps organizations defend their systems against firmware, hardware, and supply chain attacks.","1,319",2017-01-01,year,http://www.eclypsium.com,,"Eclypsium provides technology that helps organizations defend their systems against firmware, hardware, and supply chain attacks. It monitors systems in an organization's infrastructure for attacks targeting firmware and devices that would not otherwise be visible. The technology helps safeguard the critical information and equipment that is vital to your business operations. Eclypsium also offers organizations improved visibility for detecting firmware compromise including at the supply chain, detection of firmware vulnerabilities, and improved firmware update management.",11050000,USD,11050000,Early Stage Venture,New
Obsidian Security,https://www.crunchbase.com/organization/obsidian-security,"Computer, Cyber Security, Network Security","Newport Beach, California, United States",A leading provider of cloud identity protection for the enterprise.,"4,103",2017-01-01,year,https://www.obsidiansecurity.com/,general@obsidiansecurity.com,"Led by former founding team members of Cylance and Carbon Black, Obsidian Security is a Southern California technology company living at the intersection of cybersecurity, artificial intelligence, and hybrid-cloud environments. Backed by Greylock Partners, Obsidian Security is based in Newport Beach, CA.",29500000,USD,29500000,Early Stage Venture,In Contact
Prevailion,https://www.crunchbase.com/organization/prevailion-inc,"Artificial Intelligence, Business Intelligence, Cyber Security, Machine Learning, Predictive Analytics","Fulton, Maryland, United States",Monitor Your Third Parties Compromise Status.,"4,896",2017-01-01,year,http://prevailion.com/,info@prevailion.com,"One Compromised Partner is All It Takes.  Your Third Party Ecosystem may be your weakest link, compromised due to poor security practices or sophisticated malware.  That lack of visibility is rampant among all organizations today. Prevailion has built the world’s first nation-state level solution for empirical proof of active, confirmed compromises.  Leveraging our proprietary global passive sensor network we specifically target and infiltrate adversary Command-and-Control (C2) infrastructure, collecting tens of millions of pieces of evidence every day with a zero signal-to-noise ratio. That evidence is then organized, attributed, and made available to our customers via a dashboard and/or API subscription.",11700000,USD,11700000,Early Stage Venture,In Contact
CyberMDX,https://www.crunchbase.com/organization/cybermdx,"Artificial Intelligence, Cyber Security, Enterprise Software, Health Care, Medical Device, Network Security, Software","New York, New York, United States",CyberMDX offers a cybersecurity solution for medical devices and clinical assets.,"5,194",2017-01-01,year,https://cybermdx.com,info@cybermdx.com,"CyberMDX is a cybersecurity company that provides threat prevention for medical devices and clinical assets. CyberMDX identifies and protects connected healthcare technologies to ensure operational resiliency, as well as patient safety and data privacy. Automating good network hygiene and architecture, CyberMDX makes it easy to smartly manage and secure your hospital IoT deployments at any scale. Zero-day vulnerability research, context-aware DPI, AI-enabled network traffic monitoring, and operational analytics round out the offering to make sure that your technology is fully protected and optimally utilized.",10000000,USD,10000000,Early Stage Venture,In Contact
Simudyne,https://www.crunchbase.com/organization/simudyne,"Analytics, Artificial Intelligence, Cyber Security, FinTech, Software","London, England, United Kingdom",Simudyne helps financial organisations to understand their world and make the best possible decisions.,"6,297",2017-01-01,year,https://www.simudyne.com,info@simudyne.com,www.simudyne.com,10122148,USD,10122148,Early Stage Venture,In Contact
Cylus,https://www.crunchbase.com/organization/cylus,"Cyber Security, Railroad, Transportation","Tel Aviv, Tel Aviv, Israel",Cylus offers solutions that are specifically designed to address the unique requirements and needs of the railway industry.,"8,801",2017-01-01,year,http://www.cylus.com,info@cylus.com,"Cylus was founded to help mainline and urban railway companies avoid safety incidents and service disruptions caused by cyber-attacks. ‍ Cylus offers solutions that are specifically designed to address the unique requirements and needs of the railway industry, enabling to detect cyber threats in signaling and control networks, trackside and onboard, facilitating an effective response before harm happens. ‍ Led by veterans from the elite technological unit of the Israel Defense Forces’ Intelligence Corps, together with top executives from the railway industry, Cylus’ team combines deep expertise in cybersecurity and rail.",17000000,USD,17000000,Early Stage Venture,In Contact
Blue Hexagon,https://www.crunchbase.com/organization/blue-hexagon,"Artificial Intelligence, Cyber Security, Machine Learning","San Francisco, California, United States",Blue Hexagon offers an on-device machine learning-based malware detection.,"25,987",2017-01-01,year,http://bluehexagon.ai/,jobs@bluehexagon.ai,Blue Hexagon offers on-device machine learning-based malware detection platform. Blue Hexagon is a stealth-mode AI startup focused on securing organizations from cyberthreats.,37000000,USD,37000000,Early Stage Venture,In Contact
Aware,https://www.crunchbase.com/organization/wiretap,"Compliance, Cyber Security, Enterprise Software, Security, Social Media Management","Columbus, Ohio, United States","Aware interfaces with social networks to allow companies to safely grow, learn from and secure their social interactions.","10,641",2017-01-12,day,https://www.awarehq.com/,hello@wiretap.com,"Aware is a cloud intelligence platform that adopts the latest advancements in cognitive computing, artificial intelligence and behavioral analytics to amplify enterprise value by monitoring the social graph. They harness the power of their platform’s insights into human behavior and interactivity to create great value for the enterprise. They have only built a fraction of what they imagined and now they are looking for incredibly talented people to help us achieve their aspirational vision.",10850000,USD,10850000,Early Stage Venture,New
Upstream Security,https://www.crunchbase.com/organization/upstream-security,"Autonomous Vehicles, Cyber Security, Machine Learning","Herzliya, Tel Aviv, Israel",Centralized Security & Analytics Platform for Connected & Autonomous Vehicle Fleets,"6,144",2017-02-01,day,http://www.upstream.auto,hello@upstreamsecurity.com,"Upstream is the first cloud-based centralized cybersecurity and analytics platform that protects the technologies and applications of connected and autonomous vehicles fleet. Upstream leverages big data and machine learning to provide OEMs and vehicle fleets with unprecedented, comprehensive, and non-intrusive defense. With application security, real-time data protection and anomaly detection, attacks are identified and blocked before they reach and harm the vehicle's network.",11000000,USD,11000000,Early Stage Venture,In Contact
Baffin Bay Networks,https://www.crunchbase.com/organization/baffin-bay-networks,"Cyber Security, SaaS, Software","Stockholm, Stockholms Lan, Sweden",Baffin Bay Networks is a cybersecurity company that delivers cloud-based security platform for network and application attacks prevention.,"10,520",2017-02-15,day,https://www.baffinbaynetworks.com,hello@baffinbaynetworks.com,Baffin Bay Networks is a Swedish cybersecurity company that delivers cloud-based security platform for network and application attacks prevention.,7200000,USD,7200000,Early Stage Venture,New
BlueVoyant,https://www.crunchbase.com/organization/blueteamglobal,"Computer, Cyber Security, Security","New York, New York, United States",A cybersecurity services firm. Uncommon intelligence. Exceptional security.,"3,012",2017-07-01,month,https://www.bluevoyant.com/,,"BlueVoyant provides Advanced Cyber Threat Intelligence for large companies and Managed Cyber Security Services for smaller businesses. Our mission is to help defend businesses around the world against agile and well-financed cyber attackers by providing unparalleled visibility, insight and responsiveness. We see threats that are both inside and outside the network and predict and defend against attacks that would otherwise be unknown.",207500000,USD,207500000,Early Stage Venture,New
Armorblox,https://www.crunchbase.com/organization/armorblox,"Cyber Security, Information Technology, Internet, Software","Sunnyvale, California, United States",Armorblox uses deep learning and natural language understanding to protect enterprise communications,"3,406",2017-07-01,month,https://www.armorblox.com,info@armorblox.com,Armorblox is a venture-backed stealth cybersecurity startup that secures the human layer by using the latest techniques in machine learning (ML) and artificial intelligence (AI) to protect organizations against identity-based attacks and data loss.,16500000,USD,16500000,Early Stage Venture,New
Medigate,https://www.crunchbase.com/organization/medigate-eae8,"Cyber Security, Health Care, Health Diagnostics, Network Security, Software","Tel Aviv, Tel Aviv, Israel",Medigate owns and operates a medical device security platform that protects all connected medical devices on health care provider networks.,"4,624",2017-09-01,day,https://www.medigate.io/,contact@medigate.io,"Medigate owns and operates a medical device security platform that protects all connected medical devices on health care provider networks. The platform offers threat detection and attack prevention services.  Itay Kirshenbaum, Jonathan Langer, and Pini Pinhasov founded Medigate on September 1, 2017. It has its headquarters in New York City.",20350000,USD,20350000,Early Stage Venture,New
WebARX,https://www.crunchbase.com/organization/webarx,Cyber Security,"London, England, United Kingdom",WebARX is a website security and monitoring platform.,"107,814",2017-09-13,day,https://www.webarxsecurity.com/,agnes@webarxsecurity.com,"WebARX is a complete website security and monitoring platform including web application firewall, uptime monitoring, domain reputation checks, and security scans on a single dashboard. WebARX analyses around 3000 hacking incidents per day, which comes from our private threat intelligence. Compared to similar service providers on the market, WebARX has put web application firewall, uptime monitoring, domain reputation checks and security scans on a single dashboard, available even to small website owners.",,,,Early Stage Venture,New
CYFIRMA,https://www.crunchbase.com/organization/cyfirma,"Artificial Intelligence, Cyber Security, Machine Learning, Predictive Analytics, Security","Dallas, Texas, United States","CYFIRMA, offers market-leading predictive threat visibility and intelligence products and services, powered by AI and ML engines.","12,979",2017-12-19,day,http://cyfirma.com/,digital@cyfirma.com,"CYFIRMA, offers market-leading cyberthreat visibility products and services, powered by artificial intelligence (AI) and machine learning, CYFIRMA’s flagship platform delivers comprehensive, real-time insights into emerging cyberthreats, attack motives and methods—customized to a client’s industry and IT environment. CYFIRMA defends against cyberattacks by supplying organizations with real-time threat visibility and situational awareness to enables them to take a more proactive strategic, management and tactical security management actions. By aggregating, correlating and analyzing information from hundreds of thousands of sources on the open and dark web, CYFIRMA helps clients anticipate what types of attacks are most likely to occur and provide the most effective response.",15000000,USD,15000000,Early Stage Venture,New
CyCraft,https://www.crunchbase.com/organization/cycraft,"Artificial Intelligence, Cyber Security, Machine Learning","Taipei, T'ai-pei, Taiwan",CyCraft is a cybersecurity technology company pioneering artificial intelligence for unmanned SecOps platform,"11,714",2017-12-26,day,https://www.cycraft.com/,contact@cycarrier.com,"With clients among the Fortune Global 500 and national governments, CyCraft uses artificial intelligence to secure businesses with automation and resiliency in complex, dynamic IT/OT/IOT/cloud-interconnected cyberspace.   CyCraft is formed by a passionate team of security experts, software engineers and data scientists with industry-leading expertise in AI, cyber crime investigation, incident response, DEFCON CTF (Capture-the-flag) and military-grade blue-team defense.  Headquartered in Taipei, CyCraft offers its AI-driven SecOps Platform to partners in eight markets across Asia, including Taiwan, Singapore, Japan, Thailand, Indonesia, Philippines, Malaysia, and Vietnam.",8150000,USD,8150000,Early Stage Venture,New
DUST Identity,https://www.crunchbase.com/organization/dust-identity,"Cyber Security, Information Technology, Internet of Things, Nanotechnology, Security, Supply Chain Management","Boston, Massachusetts, United States",is a proprietary technology which utilizes nanodiamonds to create an unclonable identity layer on any object.,"1,311",2018-01-01,year,https://dustidentity.com/,info@dustidentity.com,DUST — the Diamond Unclonable Security Tag — is a proprietary technology which utilizes nanodiamonds to create an unclonable identity layer on any object. An optical scanner and cloud-based infrastructure provides an interface to the object identity and provenance. DUST ensures that trusted data and verifiable products are used and traced across their full lifecycle.,12300000,USD,12300000,Early Stage Venture,In Contact
Fireblocks,https://www.crunchbase.com/organization/fireblocks,"Blockchain, Computer, Cyber Security, Software","New York, New York, United States",Fireblocks is a Blockchain security service provider.,"2,004",2018-01-01,year,https://www.fireblocks.com/,info@fireblocks.com,"Fireblocks is a platform that protects digital assets in transit, focusing on protecting the transmission of customers' digital assets between exchanges, counter brokers, hot wallets and cold stores.",16000000,USD,16000000,Early Stage Venture,New
Perimeter 81,https://www.crunchbase.com/organization/perimeter-81,"Cloud Security, Cyber Security, Network Security, SaaS","Tel Aviv, Tel Aviv, Israel",Next-gen secure cloud network for the modern and distributed workforce,"2,666",2018-01-01,month,https://www.perimeter81.com,,"Perimeter 81 is a next-generation network security provider, driven by the mission to transform secure network access for the modern and distributed workforce.  Unlike traditional VPN technology which is costly, hardware-based and both difficult to install and manage, our innovative, Software-Defined Perimeter solution simply and securely connects employees to cloud-based and internal network resources.  Built from scratch based on input from security leaders needing a change from legacy technology, Perimeter 81’s unique API integration and centralized cloud architecture, gives companies of all industries and sizes the power to realize the full virtues of the cloud and be truly mobile.",5000000,USD,5000000,Early Stage Venture,In Contact
